Zet Same Hity	https://zt.cdn.eurozet.pl/ZETHIT.mp3	0
RMF - Muzyka Klasyczna	https://rs6-krk2.rmfstream.pl/rmf_muzyka_klasyczna	0	
RMF - Niezapomniane Przeboje	https://rs9-krk2-cyfronet.rmfstream.pl/NIEZAPOMNIANEMELODIE	0	
RMF - Party	https://rs201-krk-cyfronet.rmfstream.pl/rmf_party	0	
RMF - Piosenka Filmowa	https://rs103-krk-cyfronet.rmfstream.pl/rmf_piosenka_filmowa	0	
RMF - Piosenka Literacka	https://rs101-krk.rmfstream.pl/rmf_piosenka_literacka	0	
RMF - Polska Prywatka	https://rs203-krk-cyfronet.rmfstream.pl/rmf_polska_prywatka	0	
RMF - Polski Rock	https://rs6-krk2.rmfstream.pl/rmf_polski_rock	0	
RMF - Polskie Przeboje	http://rmfstream1.interia.pl:8000/rmf_polskie_przeboje	0	
RMF - PRL	https://rs6-krk2.rmfstream.pl/rmf_prl	0	
RMF - Relaks	https://rs203-krk.rmfstream.pl/rmf_relaks	0	
RMF - Smooth Jazz	https://rs203-krk.rmfstream.pl/rmf_smooth_jazz	0	
RMF - Szanty	https://rs101-krk-cyfronet.rmfstream.pl/rmf_szanty	0	
RMF - W Pracy	https://rs6-krk2.rmfstream.pl/rmf_w_pracy	0	
RMF - Cuba	http://rmfstream2.interia.pl:8000/rmf_cuba	0	
ESKA - Do Pracy	https://ic2.smcdn.pl/6140-1.mp3	0	
ESKA - Impreska	https://waw.ic.smcdn.pl/6030-1.mp3	0	
ESKA - Rap 20	https://waw.ic.smcdn.pl/6190-1.mp3	0	
ESKA 2 - Kultowe Polskie	https://waw.ic.smcdn.pl/6040-1.mp3	0	
ESKA Rock	https://waw.ic.smcdn.pl/5380-1.mp3	0	
ESKA Rock - Klasyka Rocka	https://waw.ic.smcdn.pl/6070-1.mp3	0	
ESKA Rock - Rock Ballads	https://waw.ic.smcdn.pl/6010-1.mp3	0	
ESKA Rock - Teraz Polski Rock	https://waw.ic.smcdn.pl/6090-1.mp3	0	
